game time: 3567, player: [0, -102], player speed: [0, 0]
game time: 3585, player: [0, -101.5], player speed: [0, 0.5]
game time: 3602, player: [0, -102], player speed: [0, 0]
game time: 3620, player: [0, -101.5], player speed: [0, 0.5]
game time: 3636, player: [0, -102], player speed: [0, 0]
game time: 3652, player: [0, -101.5], player speed: [0, 0.5]
game time: 3670, player: [0, -102], player speed: [0, 0]
game time: 3685, player: [0, -101.5], player speed: [0, 0.5]
game time: 3703, player: [0, -102], player speed: [0, 0]
game time: 3719, player: [0, -101.5], player speed: [0, 0.5]
game time: 3736, player: [0, -102], player speed: [0, 0]
game time: 3752, player: [0, -101.5], player speed: [0, 0.5]
game time: 3769, player: [0, -102], player speed: [0, 0]
game time: 3785, player: [0, -101.5], player speed: [0, 0.5]
game time: 3804, player: [0, -102], player speed: [0, 0]
game time: 3819, player: [0, -101.5], player speed: [0, 0.5]
game time: 3835, player: [0, -102], player speed: [0, 0]
game time: 3852, player: [0, -101.5], player speed: [0, 0.5]
game time: 3867, player: [0, -102], player speed: [0, 0]
game time: 3885, player: [0, -101.5], player speed: [0, 0.5]
game time: 3903, player: [0, -102], player speed: [0, 0]
game time: 3918, player: [0, -101.5], player speed: [0, 0.5]
game time: 3934, player: [0, -102], player speed: [0, 0]
game time: 3952, player: [0, -101.5], player speed: [0, 0.5]
game time: 3967, player: [0, -102], player speed: [0, 0]
game time: 3985, player: [0, -101.5], player speed: [0, 0.5]
game time: 4000, player: [0, -102], player speed: [0, 0]
game time: 4016, player: [0, -101.5], player speed: [0, 0.5]
game time: 4033, player: [0, -102], player speed: [0, 0]
game time: 4050, player: [0, -101.5], player speed: [0, 0.5]
game time: 4066, player: [0, -102], player speed: [0, 0]
game time: 4083, player: [0, -101.5], player speed: [0, 0.5]
game time: 4098, player: [0, -102], player speed: [0, 0]
game time: 4115, player: [0, -101.5], player speed: [0, 0.5]
game time: 4131, player: [0, -102], player speed: [0, 0]
game time: 4149, player: [0, -101.5], player speed: [0, 0.5]
game time: 4165, player: [0, -102], player speed: [0, 0]
game time: 4182, player: [0, -101.5], player speed: [0, 0.5]
game time: 4199, player: [0, -102], player speed: [0, 0]
game time: 4215, player: [0, -101.5], player speed: [0, 0.5]
game time: 4233, player: [0, -102], player speed: [0, 0]
game time: 4248, player: [0, -101.5], player speed: [0, 0.5]
game time: 4265, player: [0, -102], player speed: [0, 0]
game time: 4281, player: [0, -101.5], player speed: [0, 0.5]
game time: 4297, player: [0, -102], player speed: [0, 0]
game time: 4315, player: [0, -101.5], player speed: [0, 0.5]
game time: 4331, player: [0, -102], player speed: [0, 0]
game time: 4347, player: [0, -101.5], player speed: [0, 0.5]
game time: 4364, player: [0, -102], player speed: [0, 0]
game time: 4381, player: [0, -101.5], player speed: [0, 0.5]
game time: 4398, player: [0, -102], player speed: [0, 0]
game time: 4416, player: [0, -101.5], player speed: [0, 0.5]
game time: 4432, player: [0, -102], player speed: [0, 0]
game time: 4451, player: [0, -101.5], player speed: [0, 0.5]
game time: 4467, player: [0, -102], player speed: [0, 0]
game time: 4484, player: [0, -101.5], player speed: [0, 0.5]
game time: 4500, player: [0, -102], player speed: [0, 0]
game time: 4516, player: [0, -101.5], player speed: [0, 0.5]
game time: 4533, player: [0, -102], player speed: [0, 0]
game time: 4549, player: [0, -101.5], player speed: [0, 0.5]
game time: 4566, player: [0, -102], player speed: [0, 0]
game time: 4584, player: [0, -101.5], player speed: [0, 0.5]
game time: 4599, player: [0, -102], player speed: [0, 0]
game time: 4616, player: [0, -101.5], player speed: [0, 0.5]
game time: 4633, player: [0, -102], player speed: [0, 0]
game time: 4650, player: [0, -101.5], player speed: [0, 0.5]
game time: 4668, player: [0, -102], player speed: [0, 0]
game time: 4684, player: [0, -101.5], player speed: [0, 0.5]
game time: 4700, player: [0, -102], player speed: [0, 0]
game time: 4716, player: [0, -101.5], player speed: [0, 0.5]
game time: 4732, player: [0, -102], player speed: [0, 0]
game time: 4749, player: [0, -101.5], player speed: [0, 0.5]
game time: 4766, player: [0, -102], player speed: [0, 0]
game time: 4782, player: [0, -101.5], player speed: [0, 0.5]
game time: 4796, player: [0, -102], player speed: [0, 0]
game time: 4814, player: [0, -101.5], player speed: [0, 0.5]
game time: 4831, player: [0, -102], player speed: [0, 0]
game time: 4847, player: [0, -101.5], player speed: [0, 0.5]
game time: 4864, player: [0, -102], player speed: [0, 0]
game time: 4879, player: [0, -101.5], player speed: [0, 0.5]
game time: 4896, player: [0, -102], player speed: [0, 0]
game time: 4914, player: [0, -101.5], player speed: [0, 0.5]
game time: 4929, player: [0, -102], player speed: [0, 0]
game time: 4946, player: [0, -101.5], player speed: [0, 0.5]
game time: 4962, player: [0, -102], player speed: [0, 0]
game time: 4980, player: [0, -101.5], player speed: [0, 0.5]
game time: 4997, player: [0, -102], player speed: [0, 0]
game time: 5013, player: [0, -101.5], player speed: [0, 0.5]
game time: 5029, player: [0, -102], player speed: [0, 0]
game time: 5046, player: [0, -101.5], player speed: [0, 0.5]
game time: 5063, player: [0, -102], player speed: [0, 0]
game time: 5079, player: [0, -101.5], player speed: [0, 0.5]
game time: 5097, player: [0, -102], player speed: [0, 0]
game time: 5113, player: [0, -101.5], player speed: [0, 0.5]
game time: 5130, player: [0, -102], player speed: [0, 0]
game time: 5146, player: [0, -101.5], player speed: [0, 0.5]
